li_id,DPP_2014,KMT_2014,Other_2014,Third_2014,vaild_vote_2014,invaild_vote_2014,turnout_2014,num_voter_2014,DDP_rate_2014,KMT_rate_2014
6401200-001,170,130,5,0,305,1,306,422,0.557377049,0.426229508
6401200-002,266,167,3,0,436,3,439,645,0.610091743,0.383027523
6401200-003,559,302,8,0,869,11,880,1325,0.643268124,0.347525892
6401200-004,357,234,4,0,595,12,607,845,0.6,0.393277311
6401200-005,409,253,4,0,666,11,677,924,0.614114114,0.37987988
6401200-006,804,501,16,0,1321,22,1343,1889,0.608629826,0.379258138
6401200-007,396,365,11,0,772,11,783,1138,0.512953368,0.472797927
6401200-008,1182,1009,23,0,2214,47,2261,3322,0.533875339,0.455736224
6401200-009,2476,1069,37,0,3582,50,3632,5922,0.691233948,0.298436628
6401200-010,268,237,6,0,511,11,522,822,0.52446184,0.463796477
6401200-011,1308,707,12,0,2027,28,2055,3138,0.645288604,0.348791317
6401200-012,2033,1139,24,0,3196,50,3246,4914,0.636107635,0.356382979
6401200-013,878,552,13,0,1443,29,1472,2255,0.608454608,0.382536383
6401200-014,2128,1554,39,0,3721,67,3788,5680,0.571889277,0.417629669
6401200-015,542,1949,32,0,2523,40,2563,3692,0.214823623,0.772493064
6401200-016,2168,803,31,0,3002,55,3057,4464,0.72218521,0.267488341
6401200-017,3014,1084,33,0,4131,55,4186,6465,0.729605422,0.262406197
6401200-018,1738,1306,32,0,3076,60,3136,4792,0.565019506,0.424577373
6401200-019,1660,1081,25,0,2766,31,2797,4249,0.600144613,0.390817064
6401200-020,1233,922,14,0,2169,30,2199,3330,0.56846473,0.425080682
6401200-021,674,368,15,0,1057,22,1079,2449,0.637653737,0.348155156
6401200-022,851,951,11,0,1813,30,1843,3033,0.469387755,0.524544953
6401200-024,1465,575,19,0,2059,38,2097,3052,0.711510442,0.279261778
6401200-025,1248,508,10,0,1766,21,1787,2789,0.706681767,0.287655719
6401200-026,2107,899,26,0,3032,39,3071,4484,0.694920844,0.296503958
6401200-027,3000,994,43,0,4037,49,4086,5892,0.743126084,0.246222442
6401200-028,1535,482,17,0,2034,41,2075,3169,0.7546706,0.236971485
6401200-029,2752,970,31,0,3753,45,3798,5537,0.733280043,0.258459899
6401200-030,1653,1549,30,0,3232,61,3293,5293,0.51144802,0.479269802
6401200-031,1454,1226,21,0,2701,44,2745,4410,0.538319141,0.453905961
6401200-032,1605,552,17,0,2174,32,2206,3395,0.738270469,0.253909844
6401200-033,2182,985,29,0,3196,37,3233,4825,0.682728411,0.308197747
6401200-034,1548,905,35,0,2488,42,2530,3804,0.622186495,0.363745981
6401200-035,2107,1239,20,0,3366,56,3422,5369,0.625965538,0.368092692
6401200-036,1867,835,30,0,2732,40,2772,3994,0.683382138,0.305636896
6401200-037,1333,819,22,0,2174,29,2203,3317,0.613155474,0.376724931
6401200-038,1125,411,10,0,1546,17,1563,2528,0.727684347,0.265847348
6401200-039,2753,1814,44,0,4611,45,4656,7825,0.597050531,0.39340707
6401200-040,4299,1811,58,0,6168,75,6243,10339,0.696984436,0.293612192
6401200-041,727,455,14,0,1196,14,1210,2010,0.607859532,0.380434783
6401200-042,1288,924,27,0,2239,34,2273,3490,0.575256811,0.412684234
6401200-043,1403,507,9,0,1919,24,1943,2937,0.731109953,0.264200104
6401200-044,2010,1349,37,0,3396,56,3452,5473,0.591872792,0.397232038
6401200-045,703,697,21,0,1421,32,1453,1964,0.494722027,0.490499648
6401200-046,1935,1162,33,0,3130,47,3177,4759,0.618210863,0.371246006
6401200-047,1265,1084,23,0,2372,48,2420,3537,0.533305228,0.456998314
6401200-048,2617,1081,40,0,3738,46,3784,5763,0.700107009,0.289192081
6401200-049,1601,519,22,0,2142,29,2171,3433,0.747432306,0.242296919
6401200-050,719,765,13,0,1497,23,1520,2114,0.480293921,0.511022044
6401200-051,405,278,11,0,694,11,705,1014,0.583573487,0.400576369
6401200-053,1665,923,21,0,2609,40,2649,3982,0.638175546,0.353775393
6401200-054,781,303,9,0,1093,29,1122,2359,0.714547118,0.277218664
6401200-055,3536,1078,48,0,4662,62,4724,6903,0.758472758,0.231231231
6401200-056,2456,2184,44,0,4684,83,4767,7845,0.524338173,0.466268147
6401200-057,1949,634,21,0,2604,42,2646,4108,0.748463902,0.243471582
6401200-058,1118,524,17,0,1659,24,1683,2616,0.67389994,0.315852923
6401200-059,1326,812,20,0,2158,31,2189,3724,0.614457831,0.376274328
6401200-060,3048,1936,66,0,5050,57,5107,8399,0.603564356,0.383366337
6401200-061,460,660,10,0,1130,21,1151,1855,0.407079646,0.584070796
6401200-062,777,763,7,0,1547,32,1579,2568,0.502262443,0.49321267
6401200-063,1043,621,21,0,1685,34,1719,2438,0.618991098,0.368545994
6401200-064,1045,435,10,0,1490,12,1502,2298,0.701342282,0.291946309
6401200-065,1589,777,26,0,2392,29,2421,3561,0.664297659,0.324832776
6401200-066,1054,440,15,0,1509,23,1532,2169,0.698475812,0.29158383
6401200-067,1684,829,22,0,2535,35,2570,4084,0.664299803,0.327021696
6401200-068,1511,744,23,0,2278,23,2301,3696,0.663301141,0.326602283
6401200-069,998,542,18,0,1558,29,1587,2348,0.640564827,0.3478819
6401200-070,1892,898,19,0,2809,48,2857,4216,0.673549306,0.319686721
6401200-071,1878,715,16,0,2609,25,2634,4181,0.719816021,0.274051361
6401200-072,2182,757,33,0,2972,31,3003,4301,0.734185734,0.254710633
6401200-073,1374,445,16,0,1835,16,1851,2755,0.748773842,0.242506812
6401200-074,1101,423,11,0,1535,19,1554,2316,0.717263844,0.275570033
6401200-075,2122,777,18,0,2917,42,2959,5093,0.727459719,0.266369558
6401200-076,1267,460,18,0,1745,19,1764,2559,0.726074499,0.263610315
6401200-077,1265,349,14,0,1628,19,1647,2629,0.777027027,0.214373464
6401200-078,2359,926,24,0,3309,40,3349,4747,0.712904201,0.279842853